Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,EmployeeCount,EmployeeNumber,Over18,Batch_ID,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,MonthlyIncome,Attrition
47,557,23,Below College,Medium,Medium,3,Low,6,11,Excellent,Very High,80,1,9,2,Best,6,1,34,Y,1,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,4703,Yes
38,1218,13,Bachelor,Medium,High,2,Very High,3,16,Outstanding,Medium,80,3,2,0,Best,10,1,35,Y,1,Travel_Frequently,Human Resources,Other,Female,Healthcare Representative,Single,Yes,5756,No
26,612,14,Master,Low,High,3,Very High,1,14,Outstanding,High,80,3,14,1,Better,8,1,36,Y,1,Travel_Rarely,Human Resources,Human Resources,Male,Research Scientist,Single,No,9091,No
36,1228,14,College,Medium,Low,3,High,0,18,Outstanding,Low,80,1,18,4,Better,0,1,37,Y,1,Non-Travel,Research & Development,Technical Degree,Female,Sales Executive,Divorced,Yes,13375,No
41,1097,13,Bachelor,Medium,Low,3,Medium,4,19,Excellent,Low,80,3,14,0,Better,4,1,38,Y,1,Travel_Frequently,Sales,Medical,Female,Manager,Single,No,6023,No
35,689,9,Master,High,Very High,5,Low,0,22,Outstanding,Very High,80,2,21,6,Better,9,1,39,Y,1,Non-Travel,Research & Development,Human Resources,Female,Manager,Married,No,7207,Yes
52,608,4,College,High,Very High,2,Very High,3,22,Excellent,Low,80,3,0,3,Best,3,1,40,Y,1,Travel_Rarely,Human Resources,Other,Male,Human Resources,Married,Yes,10090,No
31,623,15,Bachelor,High,High,2,Low,2,22,Excellent,Low,80,3,6,1,Bad,11,1,41,Y,1,Travel_Rarely,Sales,Other,Female,Sales Representative,Single,No,11987,Yes
25,217,22,Doctor,Low,Medium,4,Very High,8,16,Excellent,Very High,80,3,3,5,Bad,10,1,42,Y,1,Non-Travel,Human Resources,Life Sciences,Female,Research Director,Married,No,4283,Yes
28,1440,1,Bachelor,Medium,High,2,Medium,2,24,Excellent,Medium,80,3,14,3,Best,13,1,43,Y,1,Non-Travel,Research & Development,Other,Male,Research Director,Married,No,2000,No
30,1469,28,Master,Low,Low,5,Medium,5,25,Good,Low,80,3,0,4,Better,10,1,44,Y,1,Travel_Frequently,Sales,Life Sciences,Female,Research Director,Single,Yes,2885,Yes
32,907,20,Master,Medium,Very High,3,High,9,25,Excellent,Medium,80,0,13,4,Better,1,1,45,Y,1,Travel_Rarely,Human Resources,Technical Degree,Female,Human Resources,Married,Yes,2000,No
47,754,9,Master,Very High,Medium,1,Medium,8,13,Excellent,Low,80,1,12,5,Bad,0,1,46,Y,1,Travel_Rarely,Sales,Technical Degree,Male,Laboratory Technician,Married,No,7392,No
35,861,18,Doctor,High,Medium,5,Medium,2,16,Excellent,Low,80,0,7,6,Bad,0,1,47,Y,1,Travel_Frequently,Research & Development,Technical Degree,Female,Research Director,Single,Yes,7451,Yes
43,1183,15,Below College,Low,Very High,5,High,1,13,Excellent,High,80,3,7,1,Bad,8,1,48,Y,1,Non-Travel,Sales,Medical,Female,Research Director,Married,No,15895,Yes
41,858,28,Master,Very High,Very High,5,High,7,11,Excellent,High,80,2,10,0,Best,12,1,49,Y,1,Non-Travel,Human Resources,Marketing,Male,Sales Executive,Married,Yes,3996,No
41,532,18,Doctor,High,Medium,4,Low,0,14,Outstanding,Medium,80,1,6,3,Good,7,1,50,Y,1,Non-Travel,Sales,Technical Degree,Male,Sales Executive,Married,Yes,8958,Yes
28,269,21,Bachelor,Very High,High,2,Very High,0,20,Outstanding,Very High,80,1,25,5,Good,10,1,51,Y,1,Travel_Frequently,Sales,Medical,Male,Human Resources,Single,No,9572,Yes
35,794,5,College,Very High,Medium,5,Very High,0,19,Excellent,High,80,2,7,6,Good,5,1,52,Y,1,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,3992,Yes
43,1431,4,Master,High,Very High,5,Very High,5,12,Excellent,Very High,80,3,9,1,Bad,8,1,53,Y,1,Non-Travel,Sales,Marketing,Female,Research Director,Married,Yes,2858,No
29,1224,6,Below College,Medium,High,5,Low,7,11,Excellent,Medium,80,1,12,0,Bad,4,1,54,Y,1,Non-Travel,Research & Development,Other,Male,Manufacturing Director,Divorced,No,2000,Yes
32,808,21,Master,Low,Medium,3,Low,2,15,Excellent,Low,80,3,12,5,Good,14,1,55,Y,1,Travel_Frequently,Human Resources,Technical Degree,Male,Research Scientist,Married,Yes,8594,Yes
32,119,26,College,Low,High,2,Low,6,13,Excellent,High,80,3,1,4,Better,0,1,56,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Research Director,Married,No,2000,Yes
34,859,27,Master,Very High,Very High,3,Low,9,13,Excellent,Medium,80,2,9,4,Bad,12,1,57,Y,1,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Single,Yes,2000,Yes
17,1125,9,College,Low,Very High,2,Low,2,11,Excellent,High,80,3,0,4,Good,15,1,58,Y,1,Non-Travel,Research & Development,Marketing,Male,Manufacturing Director,Married,Yes,2000,Yes
25,893,8,Below College,High,High,3,Low,9,16,Good,High,80,2,0,5,Better,12,1,59,Y,1,Non-Travel,Human Resources,Human Resources,Female,Manufacturing Director,Divorced,No,8261,Yes
28,805,18,Below College,Medium,Medium,4,High,2,17,Excellent,High,80,2,19,2,Bad,13,1,60,Y,1,Non-Travel,Research & Development,Marketing,Female,Human Resources,Single,Yes,6580,No
34,862,17,Below College,Medium,Very High,3,Medium,4,12,Excellent,Very High,80,3,18,5,Bad,0,1,61,Y,1,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,5219,No
19,1222,18,Doctor,High,Very High,4,Medium,1,23,Outstanding,Low,80,0,29,1,Best,9,1,62,Y,1,Travel_Frequently,Human Resources,Marketing,Female,Laboratory Technician,Divorced,Yes,2000,Yes
29,1056,3,Bachelor,Low,High,5,High,2,25,Outstanding,Very High,80,2,15,4,Best,11,1,63,Y,1,Travel_Frequently,Research & Development,Other,Female,Manager,Divorced,Yes,2234,No
39,847,24,College,Medium,High,5,High,9,12,Low,Very High,80,3,18,1,Bad,2,1,64,Y,1,Travel_Frequently,Sales,Marketing,Male,Manufacturing Director,Divorced,No,6915,No
24,1047,2,College,High,Medium,3,Very High,4,18,Excellent,High,80,2,11,2,Bad,2,1,65,Y,1,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Married,Yes,5406,No
48,1349,17,College,High,Medium,5,Low,6,20,Excellent,Low,80,2,4,4,Good,17,1,66,Y,1,Travel_Frequently,Sales,Medical,Female,Manager,Married,Yes,2000,Yes
26,1350,25,Doctor,Low,Very High,5,High,5,25,Outstanding,Low,80,3,0,5,Good,20,1,67,Y,1,Travel_Rarely,Sales,Human Resources,Male,Laboratory Technician,Divorced,Yes,9427,No
33,112,22,Master,Low,High,2,Low,6,22,Excellent,High,80,2,5,0,Bad,13,1,68,Y,1,Travel_Rarely,Sales,Medical,Male,Sales Representative,Divorced,No,3750,Yes
44,297,22,Below College,High,Medium,4,Very High,0,20,Excellent,Very High,80,2,8,5,Best,0,1,69,Y,1,Travel_Frequently,Sales,Human Resources,Male,Manufacturing Director,Divorced,Yes,3890,No
35,406,1,Bachelor,Very High,Very High,2,Medium,0,23,Excellent,High,80,0,18,5,Good,8,1,70,Y,1,Travel_Frequently,Sales,Medical,Male,Sales Representative,Single,No,15069,No
44,463,18,Bachelor,Low,Medium,2,Low,8,13,Outstanding,Low,80,3,5,2,Better,15,1,71,Y,1,Travel_Frequently,Research & Development,Medical,Female,Research Director,Divorced,No,2000,Yes
42,1480,9,College,Low,Medium,2,Medium,8,12,Outstanding,Very High,80,2,20,2,Best,10,1,72,Y,1,Non-Travel,Sales,Technical Degree,Male,Laboratory Technician,Divorced,Yes,4607,No
14,976,8,Bachelor,Very High,Very High,3,Low,8,11,Good,Low,80,0,8,1,Better,9,1,73,Y,1,Non-Travel,Human Resources,Technical Degree,Male,Manufacturing Director,Divorced,No,3678,Yes
36,1294,19,Doctor,Very High,High,3,Medium,2,14,Excellent,Medium,80,3,5,3,Best,0,1,74,Y,1,Non-Travel,Sales,Human Resources,Female,Sales Representative,Married,Yes,2359,Yes
25,167,28,Doctor,Low,Very High,4,Low,2,24,Excellent,Low,80,0,0,4,Best,11,1,75,Y,1,Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,Yes,5464,Yes
40,302,16,Bachelor,Medium,Very High,5,Very High,0,21,Outstanding,Medium,80,0,23,5,Better,7,1,76,Y,1,Travel_Frequently,Human Resources,Medical,Female,Research Director,Single,No,2000,Yes
35,1205,3,Doctor,Low,Medium,2,Very High,8,17,Excellent,Low,80,1,0,6,Good,6,1,77,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Healthcare Representative,Divorced,Yes,7293,No
37,862,28,Bachelor,Medium,Low,3,Low,3,24,Excellent,High,80,2,9,0,Better,2,1,78,Y,1,Non-Travel,Human Resources,Marketing,Female,Laboratory Technician,Single,Yes,2000,Yes
29,1327,8,Below College,Low,Very High,3,High,2,24,Low,High,80,3,17,0,Good,4,1,79,Y,1,Travel_Rarely,Human Resources,Medical,Female,Manager,Married,No,2849,No
38,862,15,Below College,Very High,Very High,3,Medium,3,23,Good,Very High,80,1,15,1,Good,1,1,80,Y,1,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Single,No,7591,No
27,1352,7,Master,Very High,Very High,2,Very High,1,19,Excellent,Medium,80,1,15,0,Best,11,1,81,Y,1,Travel_Rarely,Sales,Technical Degree,Female,Manager,Single,No,16554,No
32,746,2,College,Very High,Low,4,High,2,13,Excellent,Medium,80,0,8,0,Best,9,1,82,Y,1,Non-Travel,Human Resources,Medical,Female,Manufacturing Director,Divorced,No,2622,No
39,1313,16,Doctor,Low,High,3,Low,6,21,Excellent,Medium,80,1,18,4,Better,0,1,83,Y,1,Travel_Rarely,Human Resources,Technical Degree,Male,Laboratory Technician,Divorced,No,10280,Yes
52,276,18,Below College,Very High,Very High,5,Medium,7,19,Excellent,Very High,80,0,23,1,Best,12,1,84,Y,1,Non-Travel,Research & Development,Life Sciences,Female,Research Director,Married,Yes,4526,No
28,844,21,Bachelor,High,Medium,5,Low,9,22,Excellent,Low,80,0,0,2,Good,7,1,85,Y,1,Travel_Frequently,Research & Development,Marketing,Male,Human Resources,Divorced,No,9060,Yes
53,377,26,College,Very High,Medium,5,Very High,9,13,Excellent,Medium,80,0,10,4,Good,0,1,86,Y,1,Non-Travel,Sales,Other,Female,Healthcare Representative,Married,No,3532,Yes
20,592,12,College,Low,Medium,2,Very High,0,24,Excellent,Very High,80,2,0,5,Better,7,1,87,Y,1,Non-Travel,Sales,Other,Female,Research Director,Divorced,No,2556,No
38,934,27,Doctor,Very High,Medium,5,Low,1,22,Excellent,High,80,3,20,0,Best,0,1,88,Y,1,Non-Travel,Human Resources,Technical Degree,Male,Manufacturing Director,Single,Yes,6802,Yes
38,1204,24,Bachelor,Low,Low,3,High,8,14,Outstanding,Very High,80,0,21,5,Best,3,1,89,Y,1,Non-Travel,Sales,Human Resources,Male,Sales Executive,Married,Yes,10423,No
45,1055,3,Doctor,Medium,Medium,1,High,7,22,Outstanding,High,80,1,23,4,Good,9,1,90,Y,1,Travel_Rarely,Sales,Marketing,Male,Research Director,Married,Yes,9044,Yes
43,1454,17,College,High,Very High,1,Low,0,20,Excellent,High,80,3,17,4,Better,12,1,91,Y,1,Non-Travel,Sales,Human Resources,Male,Sales Executive,Single,No,9662,Yes
46,228,8,College,Very High,Medium,1,Very High,9,16,Excellent,Very High,80,3,8,4,Best,8,1,92,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,Married,No,9573,No
31,736,7,Below College,Medium,Medium,4,Low,5,13,Excellent,Low,80,0,5,1,Best,6,1,93,Y,1,Travel_Frequently,Research & Development,Marketing,Male,Sales Representative,Married,No,3271,Yes
51,848,28,Master,Low,Low,2,High,9,21,Good,High,80,3,10,4,Good,2,1,94,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,Married,Yes,2558,Yes
43,942,8,Master,Very High,Medium,5,High,6,24,Excellent,Very High,80,2,4,6,Bad,12,1,95,Y,1,Travel_Frequently,Sales,Technical Degree,Female,Manager,Single,No,6981,No
21,852,20,Doctor,High,Very High,1,Low,1,21,Excellent,High,80,1,6,0,Better,8,1,96,Y,1,Non-Travel,Research & Development,Technical Degree,Male,Healthcare Representative,Single,Yes,3961,Yes
39,1472,10,Doctor,Low,Very High,2,Low,0,23,Excellent,Low,80,1,16,1,Good,9,1,97,Y,1,Travel_Rarely,Research & Development,Other,Female,Human Resources,Divorced,No,4663,Yes
41,1288,1,Master,High,Low,1,Medium,8,25,Excellent,High,80,2,17,4,Better,13,1,98,Y,1,Travel_Rarely,Research & Development,Marketing,Male,Sales Executive,Divorced,Yes,8537,No
42,101,9,College,High,Medium,2,Low,1,19,Excellent,Medium,80,1,0,2,Best,2,1,99,Y,1,Travel_Rarely,Human Resources,Human Resources,Male,Manufacturing Director,Single,No,8802,Yes
26,217,29,Bachelor,Very High,Medium,5,High,4,16,Excellent,High,80,0,20,3,Bad,11,1,100,Y,1,Travel_Frequently,Human Resources,Life Sciences,Male,Manager,Married,Yes,6353,No
38,650,13,Master,High,Medium,2,Low,7,23,Low,Medium,80,2,25,4,Better,8,1,101,Y,1,Travel_Frequently,Human Resources,Marketing,Female,Manufacturing Director,Divorced,Yes,14898,Yes
41,1093,8,College,Medium,Low,1,Low,1,20,Excellent,Low,80,3,14,6,Better,5,1,102,Y,1,Non-Travel,Human Resources,Medical,Male,Sales Representative,Married,No,2877,Yes
48,811,21,College,High,Medium,2,Very High,4,17,Excellent,High,80,3,15,6,Good,8,1,103,Y,1,Travel_Frequently,Sales,Human Resources,Male,Human Resources,Single,Yes,13426,Yes
37,787,15,Doctor,Low,High,4,Very High,2,12,Excellent,Low,80,2,0,4,Better,7,1,104,Y,1,Non-Travel,Human Resources,Technical Degree,Male,Healthcare Representative,Single,Yes,2000,Yes
28,1267,14,Below College,Very High,Medium,3,Very High,5,19,Excellent,High,80,1,0,1,Best,5,1,105,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Healthcare Representative,Married,Yes,2000,Yes
41,144,24,College,Medium,Low,2,Low,5,25,Low,High,80,2,5,4,Best,7,1,106,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Laboratory Technician,Single,Yes,2187,Yes
36,1492,1,College,Low,Medium,3,Medium,8,16,Excellent,Medium,80,0,15,4,Best,9,1,107,Y,1,Travel_Rarely,Sales,Marketing,Female,Manufacturing Director,Married,No,14052,Yes
31,765,23,College,Medium,Low,4,Medium,7,25,Excellent,Very High,80,2,0,0,Best,6,1,108,Y,1,Travel_Frequently,Research & Development,Technical Degree,Male,Human Resources,Single,Yes,11723,Yes
41,145,21,Bachelor,Very High,High,2,Very High,6,16,Excellent,Very High,80,2,15,1,Better,15,1,109,Y,1,Travel_Rarely,Human Resources,Technical Degree,Female,Manufacturing Director,Married,No,9337,No
45,1203,19,Bachelor,High,Low,2,Very High,8,22,Excellent,Low,80,1,7,2,Best,11,1,110,Y,1,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,No,4907,No
45,1125,19,Doctor,Low,High,3,High,3,25,Excellent,Low,80,0,14,2,Bad,4,1,111,Y,1,Travel_Frequently,Sales,Life Sciences,Female,Laboratory Technician,Single,No,12027,Yes
39,1172,19,College,Medium,Very High,2,Low,0,12,Outstanding,Low,80,2,17,1,Better,9,1,112,Y,1,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Single,Yes,4042,Yes
45,1339,3,Bachelor,High,High,3,Low,2,22,Excellent,Low,80,2,13,1,Best,14,1,113,Y,1,Travel_Frequently,Human Resources,Human Resources,Female,Human Resources,Divorced,Yes,2000,Yes
40,1200,29,Doctor,Medium,High,4,Medium,6,18,Excellent,Very High,80,2,21,5,Bad,8,1,114,Y,1,Non-Travel,Research & Development,Human Resources,Female,Research Director,Divorced,Yes,3253,No
41,100,5,Master,Low,High,2,Low,1,20,Excellent,High,80,2,8,0,Bad,5,1,115,Y,1,Non-Travel,Research & Development,Technical Degree,Male,Healthcare Representative,Divorced,Yes,2000,Yes
37,1449,15,Below College,High,Very High,1,Very High,7,18,Low,Very High,80,3,4,4,Good,0,1,116,Y,1,Travel_Rarely,Human Resources,Technical Degree,Male,Human Resources,Divorced,No,11645,No
26,1484,21,College,Very High,Very High,2,Very High,5,18,Excellent,High,80,2,2,3,Best,14,1,117,Y,1,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,3000,No
40,1326,8,Bachelor,Medium,Low,4,High,4,17,Outstanding,Very High,80,0,0,5,Better,0,1,118,Y,1,Travel_Rarely,Human Resources,Other,Female,Healthcare Representative,Divorced,Yes,3850,Yes
44,1076,27,Bachelor,Very High,Very High,3,Very High,3,18,Outstanding,Low,80,1,10,2,Good,2,1,119,Y,1,Travel_Frequently,Research & Development,Human Resources,Male,Healthcare Representative,Divorced,Yes,2000,Yes
50,1476,22,Below College,Medium,High,4,Very High,8,21,Excellent,High,80,2,0,6,Best,15,1,120,Y,1,Travel_Rarely,Sales,Other,Female,Sales Representative,Married,Yes,7560,No
31,289,7,Doctor,High,Low,3,Medium,8,24,Excellent,Low,80,1,9,5,Better,5,1,121,Y,1,Travel_Frequently,Research & Development,Medical,Female,Sales Representative,Divorced,No,7884,No
49,314,19,College,High,Low,4,Medium,7,19,Excellent,Very High,80,0,19,3,Best,15,1,122,Y,1,Non-Travel,Sales,Life Sciences,Female,Manager,Single,No,3744,Yes
51,627,2,Master,High,Medium,5,Very High,2,18,Excellent,High,80,1,26,0,Bad,3,1,123,Y,1,Non-Travel,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,6062,Yes
43,437,23,Doctor,High,Medium,3,High,9,11,Excellent,Medium,80,1,0,6,Better,11,1,124,Y,1,Travel_Frequently,Sales,Marketing,Female,Laboratory Technician,Divorced,No,8097,No
60,1399,12,College,High,Very High,2,Low,1,14,Excellent,High,80,1,29,5,Best,7,1,125,Y,1,Travel_Rarely,Research & Development,Human Resources,Female,Sales Representative,Divorced,No,2000,Yes
25,1258,1,College,Very High,Medium,1,High,2,24,Excellent,Low,80,2,22,2,Good,0,1,126,Y,1,Travel_Frequently,Sales,Medical,Male,Healthcare Representative,Divorced,No,4872,No
37,701,11,Master,High,Very High,4,Very High,6,16,Outstanding,Low,80,2,24,6,Best,8,1,127,Y,1,Non-Travel,Human Resources,Technical Degree,Female,Manager,Single,No,16296,Yes
64,1259,5,Below College,Low,Very High,5,Very High,6,13,Excellent,Medium,80,2,6,5,Bad,13,1,128,Y,1,Travel_Rarely,Sales,Life Sciences,Female,Manufacturing Director,Married,Yes,4125,No
36,341,2,Master,Very High,Very High,3,Very High,8,23,Excellent,Medium,80,2,8,2,Good,3,1,129,Y,1,Non-Travel,Research & Development,Technical Degree,Male,Sales Representative,Single,Yes,3521,No
48,644,21,Below College,Low,Medium,4,Medium,9,24,Outstanding,Very High,80,1,18,3,Better,2,1,130,Y,1,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,Yes,2000,No
24,128,15,Master,High,High,5,Medium,4,21,Outstanding,Medium,80,0,10,1,Bad,3,1,131,Y,1,Non-Travel,Human Resources,Life Sciences,Male,Manufacturing Director,Married,No,12748,Yes
43,1143,1,Bachelor,Low,Very High,2,Very High,3,22,Low,Medium,80,1,9,6,Good,4,1,132,Y,1,Non-Travel,Sales,Life Sciences,Female,Laboratory Technician,Divorced,Yes,11811,No
48,323,23,College,Low,Very High,3,Low,7,14,Low,Medium,80,2,8,6,Best,3,1,133,Y,1,Travel_Frequently,Research & Development,Marketing,Male,Manager,Married,Yes,5758,Yes
22,646,21,Doctor,Very High,Medium,1,Low,5,24,Excellent,Medium,80,3,5,1,Better,16,1,134,Y,1,Travel_Frequently,Research & Development,Other,Female,Manufacturing Director,Married,Yes,2181,Yes
42,426,1,Master,Low,Medium,5,Very High,2,18,Excellent,Medium,80,0,20,5,Better,13,1,135,Y,1,Travel_Frequently,Research & Development,Marketing,Female,Manufacturing Director,Single,Yes,11716,No
25,897,2,College,Medium,Low,4,Low,1,11,Outstanding,Low,80,0,6,3,Best,0,1,136,Y,1,Non-Travel,Sales,Technical Degree,Male,Manufacturing Director,Single,No,3924,Yes
60,312,15,College,Medium,Medium,5,High,7,18,Excellent,Medium,80,1,18,2,Best,1,1,137,Y,1,Travel_Frequently,Human Resources,Life Sciences,Female,Manager,Single,Yes,2000,No
